 3D Domain Decomposition
Nx =     4  Ny =     2  Nz =     4
 In auto-tuning mode......
 factors:            1           2           4           8          16
          32
 processor grid           1  by           32  time=  1.271016895771027E-003
 processor grid           2  by           16  time=  1.076936721801758E-003
 processor grid           4  by            8  time=  1.125127077102661E-003
 processor grid           8  by            4  time=  4.086866974830627E-004
 processor grid          16  by            2  time=  7.944703102111816E-004
 processor grid          32  by            1  time=  5.240291357040405E-004
 the best processor grid is probably            8  by            4
  
 ***** Using the FFTW (F2003 interface) engine *****
  

 Smooth Particle Mesh Ewald Parameters :

    Ewald Coefficient      Charge Grid Dimensions      B-Spline Order

          0.5446               72    72    72                 5

 Random Number Generator Initialized with SEED :      457298415
 3D Domain Decomposition
Nx =     4  Ny =     2  Nz =     4

 Langevin Molecular Dynamics Trajectory via BAOAB-RESPA-1 Algorithm

        85   -40590.6038   -59176.1475    18585.5438     315.16     268.36
        86   -40604.3288   -59161.9414    18557.6126     314.68   -2531.78
        87   -40641.7203   -59137.2014    18495.4811     313.63     -53.57
        88   -40653.3655   -59084.2948    18430.9293     312.54   -2175.29
        89   -40639.3534   -59115.5874    18476.2340     313.30    -273.88
        90   -40659.2326   -59201.7006    18542.4680     314.43   -1421.93
        91   -40682.4414   -59119.2981    18436.8567     312.64   -1248.76
        92   -40675.9038   -59287.6194    18611.7156     315.60     -64.69
        93   -40728.9443   -59268.1230    18539.1788     314.37   -1671.45
        94   -40728.9474   -59259.9579    18531.0104     314.23     115.09
        95   -40785.5043   -59403.3907    18617.8864     315.71   -2234.95
        96   -40768.2886   -59332.0037    18563.7151     314.79     181.33
        97   -40753.9367   -59282.1288    18528.1920     314.18   -1824.39
        98   -40819.3010   -59315.7386    18496.4376     313.65    -647.79
        99   -40776.2531   -59193.8816    18417.6285     312.31   -1330.65
       100   -40850.2066   -59180.6999    18330.4933     310.83    -964.79
       101   -40795.7391   -59295.1058    18499.3667     313.70    -154.59
       102   -40881.6945   -59258.2356    18376.5411     311.61   -2331.31
       103   -40894.3676   -59324.0690    18429.7014     312.51     145.43
       104   -40880.6416   -59474.6213    18593.9797     315.30   -2279.13
       105   -40954.0707   -59348.2825    18394.2118     311.91     283.33
       106   -40896.6216   -59301.2610    18404.6394     312.09   -1352.91
       107   -40966.5020   -59243.8098    18277.3077     309.93    -605.67
       108   -40895.4140   -59323.8606    18428.4466     312.49    -516.35
       109   -40985.7267   -59117.4130    18131.6863     307.46   -1465.98
       110   -40988.0457   -59402.1187    18414.0730     312.25      65.33
       111   -40985.3383   -59461.7588    18476.4205     313.31   -2305.82
       112   -41081.4193   -59566.0543    18484.6350     313.45     198.73
       113   -41048.1505   -59417.2131    18369.0626     311.49   -2073.15
       114   -41122.5954   -59443.8993    18321.3039     310.68    -342.08
       115   -41047.5217   -59403.7497    18356.2280     311.27   -1865.51
       116   -41072.0924   -59429.0648    18356.9725     311.28    -927.59
       117   -41070.4922   -59452.3935    18381.9013     311.70    -752.95
       118   -41108.5070   -59409.8771    18301.3701     310.34   -2261.07
       119   -41114.5854   -59500.4742    18385.8888     311.77     147.15
       120   -41103.6736   -59564.1978    18460.5242     313.04   -2150.76
       121   -41161.2774   -59519.4110    18358.1336     311.30    -115.70
       122   -41131.7168   -59453.2186    18321.5019     310.68   -2343.32
       123   -41162.5541   -59482.3061    18319.7520     310.65    -587.14
       124   -41161.2930   -59534.0816    18372.7886     311.55   -1487.25
       125   -41169.6642   -59498.5787    18328.9145     310.81   -1042.25
       126   -41151.0478   -59667.8370    18516.7892     313.99    -698.27
       127   -41178.6838   -59559.2696    18380.5858     311.68   -1746.58
       128   -41229.8652   -59506.9013    18277.0360     309.93     194.01
       129   -41254.1979   -59484.0515    18229.8536     309.13   -2305.94
       130   -41276.9086   -59514.6731    18237.7645     309.26    -155.82
       131   -41287.1358   -59694.2882    18407.1524     312.13   -2073.85
       132   -41343.1898   -59645.2965    18302.1066     310.35    -689.77
       133   -41408.2228   -59675.6397    18267.4170     309.76   -1330.08
       134   -41412.0818   -59632.9278    18220.8460     308.97   -1543.10
       135   -41421.9537   -59666.6268    18244.6731     309.38    -499.42
       136   -41441.1103   -59733.7260    18292.6157     310.19   -2133.68
       137   -41449.6297   -59776.8147    18327.1850     310.78    -397.90
       138   -41437.9833   -59816.8543    18378.8710     311.65   -2072.70
       139   -41452.6383   -59787.8123    18335.1740     310.91    -211.62
       140   -41417.1721   -59897.4844    18480.3123     313.37   -1846.30
       141   -41471.1681   -59740.7745    18269.6064     309.80    -730.80
       142   -41472.5953   -59896.7959    18424.2006     312.42    -901.25
       143   -41536.2823   -59766.0402    18229.7578     309.12   -1350.42
